Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method
5.03E+12,ANTIBACTERIAL HANDWASH 500ML (GREEN), Household,Tin,8,9,5, No Tax, exclusive
5.06E+12,ANTIBACTERIAL HANDWASH ORIGINAL 750ML, Household,Tin,10,11,5, No Tax, exclusive
76301000100,APPLE & EVE APPLE JUICE 100% PK 12, Household,Tin,24,25,5, No Tax, exclusive
76301000155,APPLE & EVE FRUIT PUNCH 100% PK 12, Household,Tin,24,25,5, No Tax, exclusive
2.35E+13,APPLE (GREEN), Household,Tin,6,8,5, No Tax, exclusive
2.35E+13,APPLE (RED), Household,Tin,7,8,5, No Tax, exclusive
60120,APPLE AND EVE  VERY BERRY PK 12, Household,Tin,24,25,5, No Tax, exclusive
5.00E+12,APTAMIL FIRST INFANT MILK 1, Household,Tin,90,100,5, No Tax, exclusive
5.05E+12,APTAMIL GROWING UP 3, Household,Tin,90,100,5, No Tax, exclusive
60169,AQUA FILL 1.5L PCS, Household,Tin,2.5,3,5, No Tax, exclusive
60085,AQUA FILL 1.5ML BOX, Household,Tin,15,17,5, No Tax, exclusive
5.46E+14,AQUA FILL BABY SIZE, Household,Tin,6,7,5, No Tax, exclusive
60084,AQUA FILL BOX 500ML, Household,Tin,15,17,5, No Tax, exclusive
60181,AQUA FILL WATER 500ML PCS, Household,Tin,1,1.5,5, No Tax, exclusive
5.00E+12,AQUA FRESH EXTRA WHITE PASTE 75ML, Household,Tin,11,12,5, No Tax, exclusive
6.00E+12,AQUA FRESH MILD MINTY 100ML, Household,Tin,0,7,5, No Tax, exclusive
60011,AQUAFILL DISPENSER BOTTLE, Household,Tin,8,9,5, No Tax, exclusive
6.92E+12,ARABE PLASTIC PLATES 25PCS, Household,Tin,15,16,5, No Tax, exclusive
4.08E+12,ARIEL PROFESSIONAL COLOUR 5.005L, Household,Tin,115,116,5, No Tax, exclusive
4.08E+12,ARIEL PROFESSIONAL LIQUID 5L, Household,Tin,115,116,5, No Tax, exclusive
8.00E+12,ARIEL PROFESSIONAL POWDER 7.150KG, Household,Tin,165,166,5, No Tax, exclusive
8.00E+12,ARIEL WASHING POWDER 1KG, Household,Tin,14,15,5, No Tax, exclusive
8.00E+12,ARIEL WASHING POWDER 500G, Household,Tin,7.5,8,5, No Tax, exclusive
5.41E+12,ARIEL WASHING POWDER 90G, Household,Tin,1,1.5,5, No Tax, exclusive
6.13E+11,ARIZONA GREEN TEA 473ML, Household,Tin,4,5,5, No Tax, exclusive
33200011101,ARM & HAMMER BAKING SODA 454G, Household,Tin,10,13,5, No Tax, exclusive
27192917,ASDA LONG LIFE WHOLE MILK 1L, Household,Tin,11,12,5, No Tax, exclusive
5.06E+12,ASTONISH CLEAN N PROTECT 500ML, Household,Tin,10,11,5, No Tax, exclusive
48256245455,ASTONISH COCONUT 500ML, Household,Tin,10,11,5, No Tax, exclusive
5.06E+12,ASTONISH HANDWASH 500ML, Household,Tin,10,11,5, No Tax, exclusive
48256245455,ASTONISH HANDWASH COCONUT 500ML, Household,Tin,10,11,5, No Tax, exclusive
48256245509,ASTONISH HANDWASH MILK & HONEY 500ML, Household,Tin,10,11,5, No Tax, exclusive
5.06E+12,ASTONISH HANDWASH SILKE SOFT 500ML, Household,Tin,10,11,5, No Tax, exclusive
48256245509,ASTONISH MILK N HONEY 500ML, Household,Tin,10,11,5, No Tax, exclusive
5.06E+12,ASTONISH STARCH SPRAY 750ML, Household,Tin,7,8,5, No Tax, exclusive
5.06E+12,ASTONISH WINDOW & GLASS 750ML, Household,Tin,8,9,5, No Tax, exclusive
5.06E+12,ASTONISH WINDOW & GLASS CLEANER 750ML, Household,Tin,9,10,5, No Tax, exclusive
8.89E+12,ASTOR WAFER STICK 40G PCS, Household,Tin,2.25,3.5,5, No Tax, exclusive
